""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Soul Kitchen (2009) : 7411
Soul Man (1986) : 1979
Soul Men (2008) : 7060
Soul Plane (2004) : 5383
Sound City (2013) : 8260
Sound and Fury (2000) : 5885
Sound of My Voice (2011) : 8028
Sound of Noise (2010) : 8034
Sounder (1972) : 6285
Sour Grapes (1998) : 1442
Source Code (2011) : 7744
South Pacific (1958) : 2360
South Park: Imaginationland (2008) : 7547
Southern Comfort (1981) : 4344
Southland Tales (2006) : 6806
Southpaw (2015) : 8912
Soylent Green (1973) : 1571
Space Chimps (2008) : 6978
Space Cowboys (2000) : 3060
Space Jam (1996) : 576
SpaceCamp (1986) : 3761
Spaceballs (1987) : 2436
Spacehunter: Adventures in the Forbidden Zone (1983) : 3864
Spanglish (2004) : 5938
Spanking the Monkey (1994) : 512
Sparkle (2012) : 8120
Spartacus (1960) : 2185
Spartan (2004) : 5108
Spawn (1997) : 1263
Species (1995) : 173
Species II (1998) : 1440
Spectre (2015) : 8882
Speechless (1994) : 342
Speed (1994) : 341
Speed 2: Cruise Control (1997) : 1242
Speed Racer (2008) : 6910
Spellbound (1945) : 751
Spellbound (2002) : 4579
Spencer's Mountain (1963) : 4694
Sphere (1998) : 1391
Spice World (1997) : 1384
Spider (2002) : 4500
Spider-Man (2002) : 4081
Spider-Man 2 (2004) : 5472
Spider-Man 3 (2007) : 6669
Spies Like Us (1985) : 5803
Spinout (1966) : 5539
Spiral (2000) : 5887
Spirit: Stallion of the Cimarron (2002) : 4108
Spirited Away (Sen to Chihiro no kamikakushi) (2001) : 4227
Spirits of the Dead (1968) : 641
Splash (1984) : 1660
Splendor (1999) : 2294
Splendor in the Grass (1961) : 2667
Splice (2009) : 7526
Splinter (2008) : 7065
Spotlight (2015) : 8960
Spring Breakers (2013) : 8264
Spring Forward (1999) : 5001
Sprung (1997) : 1227
Spun (2001) : 4514
Spy (2015) : 8858
Spy Game (2001) : 3814
Spy Hard (1996) : 621
Spy Kids (2001) : 3371
Spy Kids 2: The Island of Lost Dreams (2002) : 4166
Spy Kids 3-D: Game Over (2003) : 4697
Squanto: A Warrior's Tale (1994) : 1661
St. Elmo's Fire (1985) : 1704
St. Vincent (2014) : 8660
Stag (1997) : 1302
Stage Beauty (2004) : 5584
Stage Door (1937) : 5666
Stage Fright (1950) : 1738
Stagecoach (1939) : 4965
Stagecoach (1966) : 7932
Stake Land (2010) : 7844
Stakeout (1987) : 4192
Stalag 17 (1953) : 2568
Stalingrad (1993) : 633
Stalker (1979) : 987
Stand Up Guys (2012) : 8241
Stand Up and Cheer! (1934) : 8205
Stand and Deliver (1988) : 2468
Stand by Me (1986) : 1013
Stander (2003) : 5993
Standing in the Shadows of Motown (2002) : 4324
Standoff (2016) : 9005
Stanley & Iris (1990) : 2495
Stanley Kubrick: A Life in Pictures (2001) : 7197
Star 80 (1983) : 5792
Star Kid (1997) : 1376
Star Maps (1997) : 1284
Star Trek (2009) : 7194
Star Trek 3 (2016) : 8877
Star Trek II: The Wrath of Khan (1982) : 1114
Star Trek III: The Search for Spock (1984) : 1115
Star Trek IV: The Voyage Home (1986) : 1116
Star Trek Into Darkness (2013) : 8292
Star Trek V: The Final Frontier (1989) : 1113
Star Trek VI: The Undiscovered Country (1991) : 1112
Star Trek: First Contact (1996) : 1100
Star Trek: Generations (1994) : 294
Star Trek: Insurrection (1998) : 1903
Star Trek: Nemesis (2002) : 4387
Star Trek: The Motion Picture (1979) : 1111
Star Wars: Episode I - The Phantom Menace (1999) : 2103
Star Wars: Episode II - Attack of the Clones (2002) : 4099
Star Wars: Episode III - Revenge of the Sith (2005) : 6123
Star Wars: Episode IV - A New Hope (1977) : 232
Star Wars: Episode V - The Empire Strikes Back (1980) : 953
Star Wars: Episode VI - Return of the Jedi (1983) : 966
Star Wars: Episode VII - The Force Awakens (2015) : 8745
Star Wars: The Clone Wars (2008) : 6999
Star Wreck: In the Pirkinning (2005) : 6239
Starbuck (2011) : 7994
Stardom (2000) : 3181
Stardust (2007) : 6719
Stardust Memories (1980) : 1812
Stargate (1994) : 282
Stargate: Continuum (2008) : 6979
Stargate: The Ark of Truth (2008) : 6925
Starman (1984) : 2953
Starred Up (2013) : 8522
Starry Eyes (2014) : 8696
Stars and Bars (1988) : 1774
Starship Troopers (1997) : 1332
Starship Troopers 2: Hero of the Federation (2004) : 5932
Starship Troopers 3: Marauder (2008) : 7087
Starsky & Hutch (2004) : 5101
Start the Revolution Without Me (1970) : 4677
Starting Over (1979) : 5784
Startup.com (2001) : 3417
State Fair (1945) : 5408
State and Main (2000) : 3229
State of Grace (1990) : 5831
State of Play (2009) : 7186
State of Siege (État de siège) (1972) : 7544
Staten Island (2009) : 7405
Stay (2005) : 6251
Stay Alive (2006) : 6386
Stay Tuned (1992) : 2924
Staying Alive (1983) : 4272
Steal This Movie! (2000) : 3105
Stealing Beauty (1996) : 645
Stealing Harvard (2002) : 4203
Stealing Home (1988) : 2523
Stealth (2005) : 6171
Steam of Life (Miesten vuoro) (2010) : 7488
Steam: The Turkish Bath (Hamam) (1997) : 1898
Steamboat Willie (1928) : 1662
Steamboy (Suchîmubôi) (2004) : 6027
Steel (1997) : 1271
Steel Magnolias (1989) : 3074
Stella Dallas (1937) : 6069
Step Brothers (2008) : 6982
Step Into Liquid (2002) : 4711
Step Up (2006) : 6476
Step Up 2 the Streets (2008) : 6871
Stephen Tobolowsky's Birthday Party (2005) : 8419
Stepmom (1998) : 1941
Steve Jobs (2015) : 8887
Stevie (2002) : 4546
Stick It (2006) : 6407
Stigmata (1999) : 2272
Still Breathing (1997) : 1447
Still Crazy (1998) : 1986
Still Walking (Aruitemo aruitemo) (2008) : 7312
Stir Crazy (1980) : 4024
Stir of Echoes (1999) : 2273
Stoker (2013) : 8259
Stolen Kisses (Baisers volés) (1968) : 5007
Stolen Summer (2002) : 4027
Stone Reader (2002) : 4499
Stonehearst Asylum (2014) : 8676
Stonewall (1995) : 674
Stop Making Sense (1984) : 2289
Stop! Or My Mom Will Shoot (1992) : 2624
Storefront Hitchcock (1997) : 1413
Stories We Tell (2012) : 8294
Stormbreaker (Alex Rider: Operation Stormbreaker) (2006) : 6522
Storytelling (2001) : 3927
Stowaway (1936) : 8206
Straight Outta Compton (2015) : 8926
Straight Talk (1992) : 4627
Straight to Hell (1987) : 5252
Straight-Jacket (2004) : 8989
Strange Brew (1983) : 4247
Strange Days (1995) : 174
Stranger Than Paradise (1984) : 3136
Stranger Things : 9062
Stranger than Fiction (2006) : 6460
Strangers on a Train (1951) : 1737
Strangers with Candy (2005) : 6449
Straw Dogs (1971) : 4565
Strawberry and Chocolate (Fresa y chocolate) (1993) : 287
Stray Dog (Nora inu) (1949) : 5270
Streamers (1983) : 6507
Street Fight (2005) : 6548
Street Fighter (1994) : 355
Street Kings (2008) : 6907
Street Trash (1987) : 6620
Stretch (2014) : 8649
Strictly Ballroom (1992) : 946
Strictly Business (1991) : 8976
Striking Distance (1993) : 488
Stripes (1981) : 1322
Striptease (1996) : 635
Stromboli (1950) : 6362
Stroszek (1977) : 3959
Stuart Little (1999) : 2538
Stuart Little 2 (2002) : 4156
Stuart Saves His Family (1995) : 278
Stuck on You (2003) : 5014
Student of the Year (2012) : 8159
SubUrbia (1997) : 1176
Submarine (2010) : 7794
Suburban Commando (1991) : 4211
Suburbia (1984) : 5794
Sucker Punch (2011) : 7746
Sudden Death (1995) : 8
Sudden Impact (1983) : 3841
Suddenly (1954) : 5400
Suffragette (2015) : 8945
Sugar & Spice (2001) : 3258
Suicide Club (Jisatsu saakuru) (2001) : 5902
Suicide Kings (1997) : 1403
Suicide Squad (2016) : 8875
Sukiyaki Western Django (2008) : 7007
Sullivan's Travels (1941) : 2355
Summer Catch (2001) : 3712
Summer Lovers (1982) : 4436
Summer Rental (1985) : 3409
Summer School (1987) : 4934
Summer Stock (1950) : 5694
Summer Storm (Sommersturm) (2004) : 6010
Summer Wars (Samâ wôzu) (2009) : 7733
Summer of '42 (1971) : 3960
Summer of Sam (1999) : 2162
Summer with Monika (Sommaren med Monika) (1953) : 5280
Summertime (1955) : 5178
Sunday Bloody Sunday (1971) : 5374
Sunless (Sans Soleil) (1983) : 4471
Sunrise: A Song of Two Humans (1927) : 5322
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950) : 743
Sunshine (1999) : 2973
Sunshine (2007) : 6650
Sunshine Cleaning (2008) : 7165
Sunshine State (2002) : 4137
Sunspring (2016) : 9057
Super (2010) : 7742
Super 8 (2011) : 7797
Super Fly (Superfly) (1972) : 5077
Super High Me (2007) : 6915
Super Mario Bros. (1993) : 489
Super Size Me (2004) : 5411
Super Troopers (2001) : 3953
SuperBabies: Baby Geniuses 2 (2004) : 5559
Superbad (2007) : 6731
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992) : 696
Supercop 2 (Project S) (Chao ji ji hua) (1993) : 705
Superfast! (2015),(no genres listed) : 8791
Supergirl (1984) : 3099
Superhero Movie (2008) : 6906
Superman (1978) : 2114
Superman II (1980) : 2115
Superman III (1983) : 2116
Superman IV: The Quest for Peace (1987) : 2117
Superman Returns (2006) : 6441
Superman and the Mole-Men (1951) : 7875
Supernova (2000) : 2565
Superstar (1999) : 2333
Superstar: The Karen Carpenter Story (1988) : 7179
Support Your Local Sheriff! (1969) : 5311
Surf Nazis Must Die (1987) : 1719
Surf's Up (2007) : 6696
Surfwise (2007) : 6962
Surrogates (2009) : 7323
Survival Island (Three) (2005) : 8527
Survive and Advance (2013),(no genres listed) : 9053
Surviving Christmas (2004) : 5601
Surviving Picasso (1996) : 846
Surviving the Game (1994) : 490
Survivor (2015) : 8857
Susannah of the Mounties (1939) : 8207
Suspect (1987) : 3433
Suspect Zero (2004) : 5545
Suspicion (1941) : 1753
Suspiria (1977) : 3502
Suture (1993) : 286
Swamp Thing (1982) : 2135
Swedish Auto (2006) : 7555
Sweeney Todd: The Demon Barber of Fleet Street (2007) : 6830
Sweet Bird of Youth (1962) : 5315
Sweet Charity (1969) : 4531
Sweet Dreams (1985) : 4975
Sweet Home Alabama (2002) : 4229
Sweet Liberty (1986) : 5990
Sweet November (2001) : 3313
Sweet Sixteen (2002) : 4862
Sweet Smell of Success (1957) : 3500
Sweet and Lowdown (1999) : 2517
Swelter (2014) : 9007
Swept Away (2002) : 4259
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975) : 1768
Swimfan (2002) : 4198
Swimming Pool (2003) : 4685
Swimming Upstream (2002) : 8897
Swimming to Cambodia (1987) : 5155
Swimming with Sharks (1995) : 288
Swing Kids (1993) : 1666
Swing Shift (1984) : 5079
Swing Time (1936) : 4950
Swingers (1996) : 858
Swiss Family Robinson (1960) : 821
Switchback (1997) : 1321
Switching Channels (1988) : 3583
Sword of Vengeance (2014) : 8832
Sword of the Stranger (Sutorejia: Mukô hadan) (2007) : 7093
Swordfish (2001) : 3442
Sydney (Hard Eight) (1996) : 2371
Sydney White (2007) : 6735
Sylvia (2003) : 4852
Sylvia Scarlett (1935) : 6674
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002) : 5901
Syriana (2005) : 6270
Syrup (2013) : 8289
T-Men (1947) : 921
T-Rex: Back to the Cretaceous (1998) : 3509
THX 1138 (1971) : 4734
TMNT (Teenage Mutant Ninja Turtles) (2007) : 6644
TPB AFK: The Pirate Bay Away from Keyboard (2013) : 8254
Tabu: A Story of the South Seas (1931) : 4212
Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004) : 5955
Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng) (1993) : 5855
Take Me Home Tonight (2011) : 7724
Take Me Out to the Ball Game (1949) : 5364
Take Shelter (2011) : 7877
Take This Waltz (2011) : 8033
Take the Lead (2006) : 6379
Take the Money and Run (1969) : 1525
Taken (2008) : 6923
Taken 2 (2012) : 8121
Taken 3 (2015) : 8731
Takers (2010) : 7808
Taking Care of Business (1990) : 4058
Taking Lives (2004) : 5117
Taking Sides (2001) : 4754
Taking Woodstock (2009) : 7287
Tales from the Crypt Presents: Bordello of Blood (1996) : 685
Tales from the Crypt Presents: Demon Knight (1995) : 293
Tales from the Darkside: The Movie (1990) : 1841
Tales from the Hood (1995) : 295
Talk Radio (1988) : 3211
Talk to Her (Hable con Ella) (2002) : 4355
Talk to Me (2007) : 6732
Talking About Sex (1994) : 910
Tall Tale (1995) : 1663
Talladega Nights: The Ballad of Ricky Bobby (2006) : 6457
Tallulah (2016) : 9054
Tammy (2014) : 8586
Tampopo (1985) : 3052
Tangerine (2015) : 8941
Tangled (2010) : 7648
Tangled Ever After (2012) : 8569
Tango & Cash (1989) : 3663
Tango (1998) : 2064
Tank Girl (1995) : 292
Tap (1989) : 3664
Tape (2001) : 3805
Tapeheads (1988) : 3331
Taps (1981) : 4015
Tarantula (1955) : 2128
Tarnation (2003) : 5599
Tarzan (1999) : 2149
Tarzan Finds a Son! (1939) : 6916
Tarzan and His Mate (1934) : 6258
Taste of Cherry (Ta'm e guilass) (1997) : 1437
Taxi (1998) : 5456
Taxi 2 (2000) : 5877
Taxi Driver (1976) : 101
Taxi to the Dark Side (2007) : 6875
Taxidermia (2006) : 6508
Tea with Mussolini (1999) : 1945
Teaching Mrs. Tingle (1999) : 2250
Team America: World Police (2004) : 5586
Tears of the Sun (2003) : 4508
Ted (2012) : 8056
Ted 2 (2015) : 8878
Teen Wolf (1985) : 4939
Teenage Caveman (2002) : 7464
Teenage Mutant Ninja Turtles (1990) : 2743
Teenage Mutant Ninja Turtles (2014) : 8616
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991) : 2744
Teenage Mutant Ninja Turtles III (1993) : 2745
Teenage Mutant Ninja Turtles: Out of the Shadows (2016) : 9042
Teeth (2007) : 6862
Tekken (2010) : 7583
Tekkonkinkreet (Tekkon kinkurîto) (2006) : 6761
Tell No One (Ne le dis à personne) (2006) : 6728
Temple Grandin (2010) : 7428
Ten (2002) : 4506
Tenacious D in The Pick of Destiny (2006) : 6559
Tender Mercies (1983) : 1630
Tenebre (1982) : 4478
Teorema (1968) : 6255
Tequila Sunrise (1988) : 2246
Terminal USA (1993) : 8072
Terminal Velocity (1994) : 491
Terminator 2: Judgment Day (1991) : 522
Terminator 3: Rise of the Machines (2003) : 4684
Terminator Genisys (2015) : 8734
Terminator Salvation (2009) : 7201
Terms of Endearment (1983) : 1520
Terra (a.k.a. Battle for Terra) (2007) : 7306
Tess (1979) : 5590
Testament (1983) : 5992
Tetsuo II: Body Hammer (1992) : 1248
Tex (1982) : 1664
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994) : 1969
Thank You for Smoking (2006) : 6365
That Awkward Moment (2014) : 8506
That Darn Cat (1997) : 1182
That Darn Cat! (1965) : 822
That Obscure Object of Desire (Cet obscur objet du désir) (1977) : 3826
That Old Feeling (1997) : 1184
That Thing You Do! (1996) : 844
That Touch of Mink (1962) : 4974
That Was Then... This Is Now (1985) : 4864
That's Entertainment (1974) : 5633
That's Entertainment! III (1994) : 5635
That's Life! (1986) : 2766
That's My Boy (2012) : 8106
That's The Way I Like It (a.k.a. Forever Fever) (1998) : 5206
The 3 Penny Opera (1931) : 6063
The Age of Adaline (2015) : 8833
The Alamo (2004) : 5127
The Amazing Spider-Man 2 (2014) : 8531
The Artist (2011) : 7876
The Atticus Institute (2015) : 8823
The Beatles: Eight Days a Week - The Touring Years (2016) : 9065
The Best of Me (2014) : 8653
The Big Bus (1976) : 4160
The Big Gay Musical (2009) : 8938
The Big Sleep (1978) : 4082
The Biggest Fan (2002) : 8939
The Book of Life (2014) : 8666
The Borderlands (2013) : 8709
The Boy (2016) : 9013
The Boy Next Door (2015) : 8784
The Boy and the Beast (2015) : 8980
The Boyfriend School (1990) : 6036
The Brave Little Toaster Goes to Mars (1998) : 8811
The Brothers Grimsby (2016) : 9020
The Butterfly Effect (2004) : 5068
The Butterfly Effect 3: Revelations (2009) : 7176
The Car (1977) : 8738
The Chumscrubber (2005) : 6180
The Clowns (1970) : 8790
The Cobbler (2015) : 8804
The Conjuring 2 (2016) : 9044
The Conrad Boys (2006) : 8818
The Count of Monte Cristo (2002) : 3920
The D Train (2015) : 8774
The DUFF (2015) : 8762
The Danish Girl (2015) : 8949
The Day That Lasted 21 Years (2012) : 8820
The Devil's Advocate (1997) : 1309
The Devils (1971) : 5744
The Diary of Anne Frank (1959) : 5086
The Disappearance of Eleanor Rigby: Her (2013) : 8813
The Dress (1996) : 8951
The Dressmaker (2015) : 8975
The Drop (2014) : 8632
The Earrings of Madame de... (1953) : 6082
The Emperor's Club (2002) : 4351
The End of the Tour (2015) : 8767
The Expendables 3 (2014) : 8604
The Face of an Angel (2015) : 8891
The Falcon and the Snowman (1985) : 2548
The Fault in Our Stars (2014) : 8567
The Gambler (2014) : 8756
The Gift (2015) : 8921
The Glass Shield (1994) : 217
The Golden Voyage of Sinbad (1973) : 3017
The Good Dinosaur (2015) : 8880
The Great Gatsby (1926) : 8742
The Great Raid (2005) : 6185
The Great Train Robbery (1978) : 4905
The Harvest (2013) : 8829
The Hateful Eight (2015) : 8781
The Hobbit: The Battle of the Five Armies (2014) : 8714
The Hole (2001) : 5886
The Human Centipede III (Final Sequence) (2015) : 8852
The Hundred-Foot Journey (2014) : 8614
The Hunger (1983) : 2836
The Hunger Games (2012) : 7926
The Hunger Games: Catching Fire (2013) : 8426
The Hunger Games: Mockingjay - Part 1 (2014) : 8683
The Hunger Games: Mockingjay - Part 2 (2015) : 8866
The Huntsman Winter's War (2016) : 9029
The Imitation Game (2014) : 8681
The Importance of Being Earnest (1952) : 4149
The Intern (2015) : 8917
The Interview (2014) : 8725
The Invitation (2015) : 8970
The Island (2006) : 7061
The Jane Austen Book Club (2007) : 6783
The Jinx: The Life and Deaths of Robert Durst (2015) : 8825
The Jungle Book (2016) : 8899
The Lair of the White Worm (1988) : 3559
The Last Brickmaker in America (2001) : 9061
The Last Days of Emma Blank (2009) : 9023
The Last Witch Hunter (2015) : 8874
The Legend of Tarzan (2016) : 9050
The Lego Movie (2014) : 8488
The Lobster (2015) : 8849
The Loft (2014) : 8779
The Longest Week (2014) : 8690
The Lovers and the Despot,(no genres listed) : 9012
The Machine (1994) : 1163
The Machinist (2004) : 5605
The Maid's Room (2014) : 9049
The Man I Love (1997) : 8930
The Man from Nowhere (2010) : 7785
The Man from U.N.C.L.E. (2015) : 8900
The Man in the Moon (1991) : 3253
The Martian (2015) : 8854
The Mating Habits of the Earthbound Human (1999) : 2336
The Men Next Door (2012),(no genres listed) : 8935
The Missouri Breaks (1976) : 5769
The Monster Club (1981) : 3994
The Nice Guys (2016) : 9036
The Night Before (2015) : 8958
The Opposite Sex (2014) : 8904
The Overnight (2015) : 8777
The Pacific (2010) : 8761
The Perfect Guy (2015) : 8973
The Pick-up Artist (1987) : 5043
The Plague of the Zombies (1966) : 5254
The Possession of Michael King (2014) : 8679
The Pumaman (1980) : 4275
The Purge: Election Year (2016) : 9051
The Queen (2006) : 6486
The Raid 2: Berandal (2014) : 8530
The Raid: Redemption (2011) : 8007
The Revenant (2015) : 8909
The Ridiculous 6 (2015) : 8996
The Runner (2015) : 8920
The Scorpion King (2002) : 4062
The Scorpion King: Rise of a Warrior (2008) : 8022
The Second Best Exotic Marigold Hotel (2015) : 8795
The Secret Life of Pets (2016) : 8871
The Shallows (2016) : 9038
The Skeleton Twins (2014) : 8633
The Slipper and the Rose: The Story of Cinderella (1976) : 2882
The Spectacular Now (2013) : 8329
The Spiral Staircase (1945) : 3079
The Tall Blond Man with One Black Shoe (1972) : 5749
The Theory of Everything (2014) : 8694
The Video Dead (1987) : 9041
The Voices (2014) : 8706
The Walk (2015) : 8902
The War at Home (1979) : 8736
The Way He Looks (2014) : 8685
The Wedding Ringer (2015) : 8783
The Wild One (1953) : 5700
The Witch (2015) : 8923
The Wolfpack (2015) : 8864
The Wrecking Crew (2008) : 8805
The Year My Voice Broke (1987) : 2666
The Young Savages (1961) : 8672
Thelma & Louise (1991) : 2725
Them (Ils) (2006) : 6693
Them! (1954) : 1809
There Will Be Blood (2007) : 6832
There's No Business Like Show Business (1954) : 3455
There's Something About Mary (1998) : 1486
Theremin: An Electronic Odyssey (1993) : 3692
Thesis (Tesis) (1996) : 4201
They (2002) : 4360
They All Laughed (1981) : 4346
They Came Together (2014) : 8584
They Drive by Night (1940) : 5056
They Live (1988) : 3585
They Live by Night (1949) : 5690
They Made Me a Criminal (1939) : 780
They Might Be Giants (1971) : 2635
They Were Expendable (1945) : 5683
Thief (1981) : 4347
Thief of Hearts (1984) : 4078
Things Behind the Sun (2001) : 3784
Things Change (1988) : 2883
Things You Can Tell Just by Looking at Her (2000) : 4940
Things to Do in Denver When You're Dead (1995) : 75
Think Like a Man (2012) : 8018
Think Like a Man Too (2014) : 8579
Thinner (1996) : 620
Thirst (2008) : 7553
Thirst (Bakjwi) (2009) : 7305
Thirteen (2003) : 5080
Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001) : 4109
Thirteen Days (2000) : 3232
Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001) : 3798
Thirty-Two Short Films About Glenn Gould (1993) : 492
This Boy's Life (1993) : 4637
This Film Is Not Yet Rated (2006) : 6389
This Gun for Hire (1942) : 5516
This Is 40 (2012) : 8201
This Is Elvis (1981) : 4348
This Is England (2006) : 6676
This Is My Father (1998) : 2096
This Is My Life (1992) : 6175
